,features,lables
2361,"A large part of Singapore 's workforce would be mobilised to ensure the meeting would run without a glitch but the average Singaporean "" would probably not be too concerned about some of the issues , "" Tan said .",O O O O B-LOC O O O O O O O O O O O O O O O O O B-MISC O O O O O O O O O O O O O O B-PER O O
2362,""" But the more educated public will realise that these kind of things are important for Singapore as a small economy . """,O O O O O O O O O O O O O O O O B-LOC O O O O O O
2363,Supple said any political gains the Singapore government would get from the WTO meeting -- ahead of a general election due by April 1997 -- would depend on how successful it was in pushing its economic agenda .,B-PER O O O O O B-LOC O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O
2364,""" If there are any movements toward freer trade , then Singapore 's economy and the electorate would gain , "" he said . """,O O O O O O O O O O O B-LOC O O O O O O O O O O O O O
2365,But I do n't think it would be wise to play up the political aspect of this .,O O O O O O O O O O O O O O O O O O
2366,"I think political issues will take secondary importance to all these economic issues that will be displayed . """,O O O O O O O O O O O O O O O O O O O
2367,-DOCSTART- Japan NTT says hopes to start int'l business soon .,O B-LOC B-ORG O O O O O O O O
2368,TOKYO 1996-12-06,B-LOC O
2369,Nippon Telegraph and Telephone Corp ( NTT ) said on Friday that it hopes to move into the international telecommunications business as soon as possible following the government 's decision to split NTT into three firms under a holding company .,B-ORG I-ORG I-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O
2370,""" We hope to start international telephone business as soon as possible , "" a company official told Reuters .",O O O O O O O O O O O O O O O O O O B-ORG O
2371,The official said the latest government decision to split the company under a holding company would allow flexibility in NTT 's international phone business .,O O O O O O O O O O O O O O O O O O O B-ORG O O O O O
2372,"Earlier , Posts and Telecommunications Minister Hisao Horinouchi told a news conference the government plans to split NTT into three firms under a holding company , but did not specify when the restructuring would likely take effect .",O O O O O O B-PER I-PER O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O
2373,"One of the three new companies will be a long-distance operator and the other two will be local-call operators , Horinouchi said .",O O O O O O O O O O O O O O O O O O O O B-PER O O
2374,"One of the local firms will operate in west Japan and the other in east Japan , he added .",O O O O O O O O O B-LOC O O O O O B-LOC O O O O
2375,"The long-distance operator will offer international services , Horinouchi said .",O O O O O O O O B-PER O O
2376,The NTT official said the timing of the planned split-up was uncertain because more discussions by government officials were required .,O B-ORG O O O O O O O O O O O O O O O O O O O
2377,-DOCSTART- Ahold launches Asian food discount stores .,O B-ORG O B-MISC O O O O
2378,"ZAANDAM , Netherlands 1996-12-06",B-LOC O B-LOC O
2379,"Dutch supermarkets group Ahold NV said on Friday it had launched a second food store format for Asian consumers today , opening 16 BILO food discount stores in Malaysia .",B-MISC O O B-ORG I-ORG O O O O O O O O O O O O B-MISC O O O O O B-MISC O O O O B-LOC O
2380,The BILO stores are located in Malysia 's capital Kuala Lumpur and in the country 's second city Johor Bahru .,O B-MISC O O O O B-LOC O O B-LOC I-LOC O O O O O O O B-LOC I-LOC O
2381,"The discount price format store BILO is to complement Ahold 's full service supermarket TOPS , recently launched in Asia .",O O O O O B-MISC O O O B-ORG O O O O B-MISC O O O O B-LOC O
2382,""" In the coming five to ten years , Ahold plans to open many more stores of both formats , making TOPS and BILO household names in the region , "" Ahold said in a statement .",O O O O O O O O O B-ORG O O O O O O O O O O O B-MISC O B-MISC O O O O O O O B-ORG O O O O O
2383,"As well as its activities in Asia , Dutch retail group Ahold has a strong presence in Europe , in the U.S. and the company recently announced a joint venture agreement in Brazil .",O O O O O O B-LOC O B-MISC O O B-ORG O O O O O B-LOC O O O B-LOC O O O O O O O O O O B-LOC O
2384,"Ahold has annualised sales of approximately US$ 24 billion , and employs 180,000 people worldwide .",B-ORG O O O O O B-MISC O O O O O O O O O
2385,"-- Amsterdam newsroom +31 20 504 5000 , Fax +31 20 504 504",O B-LOC O O O O O O O O O O O
2386,-DOCSTART- ALPINE SKIING-WOMEN 'S WORLD CUP SUPER G WINNER PROFILE .,O O O O B-MISC I-MISC O O O O O
2387,"VAIL , Colorado 1996-12-07",B-LOC O B-LOC O
2388,Profile of the winner of Saturday 's women 's World Cup super G race :,O O O O O O O O O B-MISC I-MISC O O O O
2389,Name : Svetlana Gladishiva,O O B-PER I-PER
2390,Age : 25,O O O
2391,Nation : Russia,O O B-LOC
2392,Previous World Cup victories : None,O B-MISC I-MISC O O O
2393,Other Facts : Gladishiva won a silver medal in super G at the 1994 Lillehammer Winter Olympics and a bronze medal in downhill at the 1991 World Championships .,O O O B-PER O O O O O O O O O O B-LOC B-MISC I-MISC O O O O O O O O O B-MISC I-MISC O
2394,-DOCSTART- ALPINE SKIING-WOMEN 'S WORLD CUP SUPER G RESULTS .,O O O O B-MISC I-MISC O O O O
2395,"VAIL , Colorado 1996-12-07",B-LOC O B-LOC O
2396,Provisional results from,O O O
2397,Saturday 's women 's World Cup super G race :,O O O O B-MISC I-MISC O O O O
2398,1. Svetlana Gladishiva ( Russia ) one minute 17.76 seconds,O B-PER I-PER O B-LOC O O O O O
2399,2. Pernila Wiberg ( Sweden ) 1:17.97,O B-PER I-PER O B-LOC O O
2400,3. Carole Montillet ( France ) 1:18.11,O B-PER I-PER O B-LOC O O
2401,4. Hilde Gerg ( Germany ) 1:18.15,O B-PER I-PER O B-LOC O O
2402,5. Isolde Kostner ( Italy ) 1:18.19,O B-PER I-PER O B-LOC O O
2403,6. Warwara Zelenskaja ( Russia ) 1:18.21,O B-PER I-PER O B-LOC O O
2404,7. Madlen Brigger-Summermatter ( Switzerland ) 1:18.23,O B-PER I-PER O B-LOC O O
2405,8. Florence Masnada ( France ) 1:18.31,O B-PER I-PER O B-LOC O O
2406,9. Katja Seizinger ( Germany ) 1:18.32,O B-PER I-PER O B-LOC O O
2407,10= Martina Ertl ( Germany ) 1:18.48,O B-PER I-PER O B-LOC O O
2408,10= Stefanie Schuster ( Austria ) 1:18.48,O B-PER I-PER O B-LOC O O
2409,12. Bibiana Perez ( Italy ) 1:18.52,O B-PER I-PER O B-LOC O O
2410,13. Barbara Merlin ( Italy ) 1:18.67,O B-PER I-PER O B-LOC O O
2411,14. Sybille Brauner ( Germany ) 1:18.81,O B-PER I-PER O B-LOC O O
2412,15. Katharina Gutensohn ( Germany ) 1:18.92,O B-PER I-PER O B-LOC O O
2413,16. Leatitia Dalloz ( France ) 1:18.96,O B-PER I-PER O B-LOC O O
2414,17. Renate Goetschl ( Austria ) 1:18.98,O B-PER I-PER O B-LOC O O
2415,18. Marianne Brechu ( France ) 1:19.02,O B-PER I-PER O B-LOC O O
2416,19. Heidi Zurbriggen ( Switzerland ) 1:19.03,O B-PER I-PER O B-LOC O O
2417,20. Spela Bracun ( Slovenia ) 1:19.07,O B-PER I-PER O B-LOC O O
2418,21. Shannon Nobis ( U.S. ) 1:19.08,O B-PER I-PER O B-LOC O O
2419,22= Regine Cavagnoud ( France ) 1:19.21,O B-PER I-PER O B-LOC O O
2420,22= Anita Wachter ( Austria ) 1:19.21,O B-PER I-PER O B-LOC O O
2421,24. Megan Gerety ( U.S. ) 1:19.39,O B-PER I-PER O B-LOC O O
2422,25. Hilary Lindh ( U.S. ) 1:19.41,O B-PER I-PER O B-LOC O O
2423,26= Catherine Borghi ( Switzerland ) 1:19.44,O B-PER I-PER O B-LOC O O
2424,26= Michaela Dorfmeister ( Austria ) 1:19.44,O B-PER I-PER O B-LOC O O
2425,28. Alexandra Meissnitzer ( Austria ) 1:19.53,O B-PER I-PER O B-LOC O O
2426,29. Ingeborg Helen Marken ( Norway ) 1:19.54,O B-PER I-PER I-PER O B-LOC O O
2427,30. Monika Tschirky ( Switzerland ) 1:19.60,O B-PER I-PER O B-LOC O O
2428,The results were declared official .,O O O O O O
2429,-DOCSTART- ALPINE SKIING-GLADISHIVA WINS WORLD CUP SUPER G .,O O B-MISC O B-MISC I-MISC O O O
2430,"VAIL , Colorado 1996-12-07",B-LOC O B-LOC O
2431,Svetlana Gladishiva of Russia won the women 's World Cup Super G race on Saturday .,B-PER I-PER O B-LOC O O O O B-MISC I-MISC O O O O O O
2432,"Pernilla Wiberg of Sweden finished second and Carole Montillet of France came in third , according to provisional results .",B-PER I-PER O B-LOC O O O B-PER I-PER O B-LOC O O O O O O O O O
2433,-DOCSTART- GOLF - THIRD ROUND OF JCPENNEY CLASSIC WASHED OUT .,O O O O O O B-MISC I-MISC O O O
2434,"TARPON SPRINGS , Florida 1996-12-07",B-LOC I-LOC O B-LOC O
2435,Heavy rains on Saturday washed out the third round of the $ 1.5 million JCPenney Classic at the Innisbrook Hilton Resort .,O O O O O O O O O O O O O O B-MISC I-MISC O O B-LOC I-LOC I-LOC O
2436,Officials said the tournament would be reduced to 54 holes for the first time in its 37-year history .,O O O O O O O O O O O O O O O O O O O
2437,"The final round of the special event , which pairs players from the PGA and LPGA Tours , will be played in the alternate shot format on Sunday .",O O O O O O O O O O O O O B-ORG O B-ORG O O O O O O O O O O O O O
2438,The duo of Pat Hurst and Scott McCarron were tied for the lead with the team of Donna Andrews and Mike Hulbert at 13-under-par 129 through 36 holes .,O O O B-PER I-PER O B-PER I-PER O O O O O O O O O B-PER I-PER O B-PER I-PER O O O O O O O
2439,The tandem of reigning U.S. Amateur champions Kelli Kuehne and Tiger Woods were another shot back at 12-under 130 .,O O O O B-LOC O O B-PER I-PER O B-PER I-PER O O O O O O O O
2440,Defending champions Beth Daniel and Davis Love will start the final round six shots off the pace .,O O B-PER I-PER O B-PER I-PER O O O O O O O O O O O
2441,-DOCSTART- ALPINE SKIING-WOMEN 'S DOWNHILL WINNER PROFILE .,O O O O O O O O
2442,"VAIL , Colorado 1996-12-07",B-LOC O B-LOC O
2443,Profile of the winner of Saturday 's women 's World Cup downhill race :,O O O O O O O O O B-MISC I-MISC O O O
2444,Name : Renate Goetschl,O O B-PER I-PER
2445,Age : 20,O O O
2446,Nation : Austria,O O B-LOC
2447,"Previous victories ( two ) : slalom , Lillehammer Norway , 1993 ; super G , Flachau , Austria , 1995 .",O O O O O O O O B-LOC B-LOC O O O O O O B-LOC O B-LOC O O O
2448,"Other facts : As a qualifier for the 1993 World Cup finals through Europa Cup results , 16-year-old Goetschl won the slalom to become history 's youngest World Cup victor .",O O O O O O O O B-MISC I-MISC I-MISC O O B-MISC I-MISC O O O B-PER O O O O O O O O B-MISC I-MISC O O
2449,-DOCSTART- ALPINE SKIING-WOMEN 'S WORLD CUP STANDINGS .,O O O O B-MISC I-MISC O O
2450,"VAIL , Colorado 1996-12-07",B-LOC O B-LOC O
2451,Women 's World Cup,O O B-MISC I-MISC
2452,standings after Saturday 's downhill race :,O O O O O O O
2453,Downhill Standings,O O
2454,1. Katja Seizinger ( Germany ) 180 points,O B-PER I-PER O B-LOC O O O
2455,2. Renate Goetschl ( Austria ) 132,O B-PER I-PER O B-LOC O O
2456,3. Carole Montillet ( France ) 86,O B-PER I-PER O B-LOC O O
2457,4. Pernilla Wiberg ( Sweden ) 75,O B-PER I-PER O B-LOC O O
2458,5. Heidi Zurbriggen ( Switzerland ) 69,O B-PER I-PER O B-LOC O O
2459,6. Regina Haeusl ( Germany ) 66,O B-PER I-PER O B-LOC O O
2460,7. Alexandra Meissnitzer ( Austria ) 65,O B-PER I-PER O B-LOC O O
2461,8. Isolde Kostner ( Italy ) 60,O B-PER I-PER O B-LOC O O
2462,9. Ingeborg Helen Markein ( Norway ) 58,O B-PER I-PER O O B-LOC O O
2463,10= Megan Gerety ( U.S. ) 51,O B-PER I-PER O B-LOC O O
2464,10= Warwara Zelenskaja ( Russia ) 51,O B-PER I-PER O B-LOC O O
2465,10= Florence Masnada ( France ) 51,O B-LOC B-PER O B-LOC O O
2466,13= Picabo Street ( U.S. ) 50,O B-PER I-PER O B-LOC O O
2467,13= Stefanie Schuster ( Austria ) 50,O B-PER I-PER O B-LOC O O
2468,15. Miriam Vogt ( Germany ) 47,O B-PER I-PER O B-LOC O O
2469,16. Bibiana Perez ( Italy ) 45,O B-PER I-PER O B-LOC O O
2470,17. Hilde Gerg ( Germany ) 42,O B-PER I-PER O B-LOC O O
2471,18. Barbara Merlin ( Germany ) 38,O B-PER I-PER O B-LOC O O
2472,19= Kate Pace Lindsay ( Canada ) 23,O B-PER I-PER I-PER O B-LOC O O
2473,19= Svetlana Gladishiva ( Russia ) 23,O B-PER I-PER O B-LOC O O
2474,19= Regine Cavagnoud ( France ) 23,O B-PER I-PER O B-LOC O O
2475,Overall women 's World Cup standings leaders after,O O O B-MISC I-MISC O O O
2476,Saturday 's downhill and super G races :,O O O O O O O O
2477,1. Katja Seizinger ( Germany ) 414 points,O B-PER I-PER O B-LOC O O O
2478,2. Pernilla Wiberg ( Sweden ) 353,O B-PER I-PER O B-LOC O O
2479,3. Hide Gerg ( Germany ) 276,O B-PER I-PER O B-LOC O O
2480,4. Anita Wachter ( Austria ) 180,O B-PER I-PER O B-LOC O O
2481,5. Isolde Kostner ( Italy ) 157,O B-PER I-PER O B-LOC O O
2482,6. Heidi Zurbriggen ( Switzerland ) 153,O B-PER I-PER O B-LOC O O
2483,7. Warwara Zelenskaja ( Russia ) 151,O B-PER I-PER O B-LOC O O
2484,8= Renate Goetschl ( Austria ) 146,O B-PER I-PER O B-LOC O O
2485,8= Carole Montillet ( France ) 146,O B-PER I-PER O B-LOC O O
2486,10. Svetlana Gladishiva ( Russia ) 137,O B-PER I-PER O B-LOC O O
2487,11. Florence Masnada ( France ) 133,O B-LOC B-PER O B-LOC O O
2488,12. Deborah Compagnoni ( Italy ) 120,O B-PER I-PER O B-LOC O O
2489,13. Martina Ertl ( Germany ) 119,O B-PER I-PER O B-LOC O O
2490,14. Alexandra Meissnitzer ( Austria)118,O B-PER I-PER O O
2491,15. Urska Horvat ( Slovenia ) 108,O B-PER I-PER O B-LOC O O
2492,16= Claudia Riegler ( New Zealand ) 100,O B-PER I-PER O B-LOC I-LOC O O
2493,16= Sabina Panzanini ( Italy ) 100,O B-PER I-PER O B-LOC O O
2494,18. Barbara Merlin ( Italy ) 92,O B-PER I-PER O B-LOC O O
2495,19. Stefanie Schuster ( Austria ) 89,O B-PER I-PER O B-LOC O O
2496,20. Miriam Vogt ( Germany ) 76,O B-PER I-PER O B-LOC O O
2497,Super G standings :,B-MISC I-MISC O O
2498,1. Pernilla Wiberg ( Sweden ) 180,O B-PER I-PER O B-LOC O O
2499,2. Hilde Gerg ( Germany ) 130,O B-PER I-PER O B-LOC O O
2500,3. Svetland Gladishiva ( Russia ) 114,O B-PER I-PER O B-LOC O O
2501,4. Warwara Zelenskaja ( Russia ) 100,O B-PER I-PER O B-LOC O O
2502,5. Florence Masnada ( France ) 82,O B-PER I-PER O B-LOC O O
2503,6. Katja Seizinger ( Germany ) 74,O B-PER I-PER O B-LOC O O
2504,7. Isolde Kostner ( Italy ) 65,O B-PER I-PER O B-LOC O O
2505,8. Carole Montillet ( France ) 60,O B-PER I-PER O B-LOC O O
2506,9. Martina Ertl ( Germany ) 58,O B-PER I-PER O B-LOC O O
2507,10. Anita Wachter ( Austria ) 49,O B-PER I-PER O B-LOC O O
2508,11. Heidi Zurbriggen ( Switzerland ) 43,O B-PER I-PER O B-LOC O O
2509,12= Madlen Brigger-Summermatter ( Switzerland ) 42,O B-PER I-PER O B-LOC O O
2510,12= Barbara Merlin ( Italy ) 42,O B-PER I-PER O B-LOC O O
2511,12= Katharina Gutensohn ( Germany ) 42,O B-PER I-PER O B-LOC O O
2512,15. Stefanie Schuster ( Austria ) 39,O B-PER I-PER O B-LOC O O
2513,16. Leatitia Dalloz ( France ) 33,O B-PER I-PER O B-LOC O O
2514,17. Bibiana Perez ( Italy ) 30,O B-PER I-PER O B-LOC O O
2515,18= Miriam Vogt ( Germany ) 29,O B-PER I-PER O B-LOC O O
2516,18= Marianne Brechu ( France ) 29,O B-PER I-PER O B-LOC O O
2517,20. Alexandra Meissnitzer ( Austria ) 27,O B-PER I-PER O B-LOC O O
2518,Nation 's Cup standings :,B-MISC I-MISC I-MISC O O
2519,"1. Austria 1,973 points",O B-LOC O O
2520,"2. Germany 1,135",O B-LOC O
2521,3. Switzerland 972,O B-LOC O
2522,4. Italy 887,O B-LOC O
2523,5. France 853,O B-LOC O
2524,6. Norway 746,O B-LOC O
2525,7. Sweden 673,O B-LOC O
2526,8. Slovenia 432,O B-LOC O
2527,9. Russia 288,O B-LOC O
2528,10. United States 164,O B-LOC I-LOC O
2529,-DOCSTART- ALPINE SKIING-WOMEN 'S WORLD CUP DOWNHILL RESULTS .,O O O O B-MISC I-MISC O O O
2530,"VAIL , Colorado 1996-12-07",B-LOC O B-LOC O
2531,Provisional results from,O O O
2532,Saturday 's women 's World Cup downhill race :,O O O O B-MISC I-MISC O O O
2533,1. Renate Goetschl ( Austria ) one minute 47.71 seconds,O B-PER I-PER O B-LOC O O O O O
2534,2. Katja Seizinger ( Germany ) 1:48.53,O B-PER I-PER O B-LOC O O
2535,3. Isolde Kostner ( Italy ) 1:48.91,O B-PER I-PER O B-LOC O O
2536,4. Alexandra Meissnitzer ( Austria ) 1:49.13,O B-PER I-PER O B-LOC O O
2537,5. Megan Gerety ( U.S. ) 1:49.26,O B-PER I-PER O B-LOC O O
2538,6. Miriam Vogt ( Germany ) 1:49.28,O B-PER I-PER O B-LOC O O
2539,7. Stefanie Schuster ( Austria ) 1:49.38,O B-PER I-PER O B-LOC O O
2540,8. Ingeborg Helen Marken ( Norway ) 1:49.41,O B-PER I-PER I-PER O B-LOC O O
2541,9. Florence Masnada ( France ) 1:49.51,O B-PER I-PER O B-LOC O O
2542,10. Regina Haeusl ( Germany ) 1:49.53,O B-PER I-PER O B-LOC O O
2543,11. Heidi Zurbriggen ( Switzerland ) 1:49.65,O B-PER I-PER O B-LOC O O
2544,12. Warwara Zelenskaja ( Russia ) 1:49.66,O B-PER I-PER O B-LOC O O
2545,13. Barbara Merlin ( Italy ) 1:49.76,O B-PER I-PER O B-LOC O O
2546,14. Hilde Gerg ( Germany ) 1:49.84,O B-PER I-PER O B-LOC O O
2547,15. Martina Ertl ( Germany ) 1:49.85,O B-PER I-PER O B-LOC O O
2548,16. Pernilla Wiberg ( Sweden ) 1:49.88,O B-PER I-PER O B-LOC O O
2549,17. Svetlana Gladishiva ( Russia ) 1:50.03,O B-PER I-PER O B-LOC O O
2550,18. Anita Wachter ( Austria ) 1:50.10,O B-PER I-PER O B-LOC O O
2551,19. Spela Bracun ( Slovenia ) 1:50.40,O B-PER I-PER O B-LOC O O
2552,20. Regine Cavagnoud ( France ) 1:50.51,O B-PER I-PER O B-LOC O O
2553,21. Kate Pace Lindsay ( Canada ) 1:50.54,O B-PER I-PER I-PER O B-LOC O O
2554,22. Bibiana Perez ( Italy ) 1:50.65,O B-PER I-PER O B-LOC O O
2555,23. Hilary Lindh ( United States ) 1:50.69,O B-PER I-PER O B-LOC I-LOC O O
2556,24. Catherine Borghi ( Switzerland ) 1:50.72,O B-PER I-PER O B-LOC O O
2557,25. Carole Montillet ( France ) 1:50.91,O B-PER I-PER O B-LOC O O
2558,26. Brigitte Obermoser ( Austria ) 1:50.99,O B-PER I-PER O B-LOC O O
2559,27. Sybille Brauner ( Germay ) 1:51.04,O B-PER I-PER O O O O
2560,28. Grete Stroem ( Norway ) 1:51.07,O B-PER I-PER O B-LOC O O
2561,29. Patrizia Bassis ( Italy ) 1:51.13,O B-PER I-PER O B-LOC O O
2562,30. Alessandra Merlin ( Italy ) 1:51.16,O B-PER I-PER O B-LOC O O
2563,The results were declared official .,O O O O O O
2564,-DOCSTART- NORDIC SKIING-WORLD CUP BIATHLON RESULTS .,O O B-MISC I-MISC O O O
2565,"OESTERSUND , Sweden 1996-12-07",B-LOC O B-LOC O
2566,Results of Saturday 's,O O O O
2567,World Cup biathlon races :,B-MISC I-MISC O O O
2568,Men 's 10 kms,O O O O
2569,1. Vadim Sashurin ( Belarus ) 26 minutes 17.2 seconds ( no penalty,O B-PER I-PER O B-LOC O O O O O O O O
2570,rounds ),O O
2571,2. Frode Andresen ( Norway ) 26:17.8 ( 2 ),O B-PER I-PER O B-LOC O O O O O
2572,3. Ole Einar Bjorndalen ( Norway ) 26:24.9 ( 2 ),O B-PER I-PER I-PER O B-LOC O O O O O
2573,4. Sven Fischer ( Germany ) 26:28.2 ( 1 ),O B-PER I-PER O B-LOC O O O O O
2574,5. Ricco Gross ( Germany ) 26:33.0 ( 1 ),O B-PER I-PER O B-LOC O O O O O
2575,World Cup standings,B-MISC I-MISC O
2576,1. Fischer ( Germany ) 82 points,O B-PER O B-LOC O O O
2577,2. Pavel Muslimov ( Russia ) 82,O B-PER I-PER O B-LOC O O
2578,3. Sashurin 68 .,O B-PER O O
2579,Women 's 7.5 kms,O O O O
2580,1. Olga Melnik ( Russia ) 23:13.3 ( 0 ),O B-PER I-PER O B-LOC O O O O O
2581,2. Svetlana Paramygina ( Belorus ) 23:58.6 ( 0 ),O B-PER I-PER O B-LOC O O O O O
2582,3. Gunn Margit Andreassen ( Norway ) 24:00.4 ( 0 ),O B-PER I-PER I-PER O B-LOC O O O O O
2583,4. Simone Greiner-Petter-Memm ( Germany ) 24:09.5 ( 1 ),O B-PER I-PER O B-LOC O O O O O
2584,5. Petra Behle ( Germany ) 24:15.4 ( 2 ),O B-PER I-PER O B-LOC O O O O O
2585,World Cup standings,B-MISC I-MISC O
2586,1. Behle 89,O B-PER O
2587,2. Paramygina 79,O B-PER O
2588,3. Greiner-Petter-Memm 78,O B-PER O
2589,-DOCSTART- ALPINE SKIING-GOETCHL WINS WORLD CUP DOWNHILL .,O O O O B-MISC I-MISC O O
2590,"VAIL , Colorado 1996-12-07",B-LOC O B-LOC O
2591,"Renate Goetschl of Austria won the women 's World Cup downhill race on Saturday , according to provisional results .",B-PER I-PER O B-LOC O O O O B-MISC I-MISC O O O O O O O O O O
2592,Katja Seizinger of Germany finished second and Islode Kostner of Italy took third .,B-PER I-PER O B-LOC O O O B-PER I-PER O B-LOC O O O
2593,-DOCSTART- BOBSLEIGH-SHIMER PILOTS USA III TO SURPRISE WIN .,O B-MISC O B-ORG I-ORG O O O O
2594,"IGLS , Austria 1996-12-07",B-LOC O B-LOC O
2595,Brian Shimer piloted USA III to a surprise victory in a World Cup two-man bobsleigh race on Saturday .,B-PER I-PER O B-ORG I-ORG O O O O O O B-MISC I-MISC O O O O O O
2596,"Lying fifth after the first run , Shimer and breakman Randy Jones delivered a near-perfect second trip down the 1976 Olympic course for an aggregate time of one minute 45.91 seconds .",O O O O O O O B-PER O O B-PER I-PER O O O O O O O O B-MISC O O O O O O O O O O O
2597,First run leaders Guenther Huber and breakman Antonio Tartaglia in the Italy I sleigh finished second two-hundredths of a second behind the Americans .,O O O B-PER I-PER O O B-PER I-PER O O B-LOC O O O O O O O O O O B-MISC O
2598,"Canada I , represented by Pierre Lueders and breakman Dave MacEachern , completed the third World cup event of the winter a further one-hundredth of a second behind the Italians .",B-ORG I-ORG O O O B-PER I-PER O O B-PER I-PER O O O O B-MISC I-MISC O O O O O O O O O O O O B-MISC O
2599,"The Canadians , winners of the opening two events in Altenberg , Germany , and La Plagne , France , increased their lead in the World Cup standings .",O B-MISC O O O O O O O O B-LOC O B-LOC O O B-LOC I-LOC O B-LOC O O O O O O B-MISC I-MISC O O
2600,"They have 104 points , 15 ahead of USA I 's Jim Herberich and breakman Garrett Hines who managed only 10th place on Saturday .",O O O O O O O O B-ORG I-ORG O B-PER I-PER O O B-PER I-PER O O O O O O O O
2601,-DOCSTART- SKIING-CHINESE MAKE PROMISING FREESTYLE SKIING DEBUT .,O B-MISC O O O O O O
2602,"TIGNES , France 1996-12-07",B-LOC O B-LOC O
2603,China made a promising debut on the freestyle skiing world cup circuit in an aerials event in the French resort of Tignes on Saturday .,B-LOC O O O O O O O O O O O O O O O O O B-MISC O O B-LOC O O O
2604,"While the Chinese failed to gain a place in the men 's final , they had two in the top 10 of the women 's competition , Cuo Dan finishing a respectable seventh and Xu Nannan ninth .",O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O B-PER I-PER O O O O O B-PER I-PER O O
2605,"But overall , it was France and Canada who dominated the day .",O O O O O B-LOC O B-LOC O O O O O
2606,Alexis Blanc and Sebastien Foucras gave France a one-two finish in the first aerials competition of the season .,B-PER I-PER O B-PER I-PER O B-LOC O O O O O O O O O O O O
2607,"Blanc collected his seventh career World Cup win with a two jump combined score of 238.36 points , easily beating Foucras , the overall World Cup aerials champion , who was a distant second with 223.60 .",B-PER O O O O B-MISC I-MISC O O O O O O O O O O O O O B-PER O O O B-MISC I-MISC O O O O O O O O O O O
2608,"Canada 's Jeff Bean , who had never finished higher than ninth in a World Cup event , made his first trip to the podium taking third place with a mark of 209.96 .",B-LOC O B-PER I-PER O O O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O O O O
2609,"Veronica Brenner of Canada , who picked up her first career victory at Tignes last year , made it two wins in a row at the French resort taking first in the women 's competition with a score of 170.42 .",B-PER I-PER O B-LOC O O O O O O O O O B-LOC O O O O O O O O O O O O B-MISC O O O O O O O O O O O O O O
2610,"Swiss skiers occupied the other two places on the podium , Karin Kuster taking second with 160.55 narrowly ahead of Evelyne Leu with 160.36 .",B-MISC O O O O O O O O O O B-PER I-PER O O O O O O O B-PER I-PER O O O
2611,-DOCSTART- BOBSLEIGH-WORLD CUP TWO-MAN RESULTS .,O B-MISC I-MISC O O O
2612,"IGLS , Austria 1996-12-07",B-LOC O B-LOC O
2613,Results of a World Cup two-man bobsleigh event on Saturday :,O O O B-MISC I-MISC O O O O O O
2614,"1. United States III ( Brian Shimer , Randy Jones ) one",O B-ORG I-ORG I-ORG O B-PER I-PER O B-PER I-PER O O
2615,minute 45.91 seconds ( 52.90 / 53.01 ),O O O O O O O O
2616,"2. Italy I ( Guenther Huber , Antonio Tartaglia ) 1:45.93",O B-ORG I-ORG O B-PER I-PER O B-PER I-PER O O
2617,( 52.74 / 53.19 ),O O O O O
2618,"3. Canada I ( Pierre Lueders , Dave MacEachern ) 1:45.94",O B-ORG I-ORG O B-PER I-PER O B-PER I-PER O O
2619,( 52.76 / 53.18 ),O O O O O
2620,"4. German I ( Sepp Dostthaler , Thomas Lebsa ) 1:45.95",O B-ORG I-ORG O B-PER I-PER O B-PER I-PER O O
2621,( 52.82 / 53.13 ),O O O O O
2622,"5. Switzerland I ( Reto Goetschi , Guido Acklin ) 1:45.98",O B-ORG I-ORG O B-PER I-PER O B-PER I-PER O O
2623,( 52.91 / 53.07 ),O O O O O
2624,"6. Germany III ( Dirk Wiese , Jakobs Marco ) 1:46.02",O B-ORG I-ORG O B-PER I-PER O B-PER I-PER O O
2625,( 52.89 / 53.13 ),O O O O O
2626,"7. Czech Republic I ( Jiri Dzmura , Pavel Polomsky )",O B-ORG I-ORG I-ORG O B-PER I-PER O B-PER I-PER O
2627,1:46.06 ( 53.01 / 53.05 ),O O O O O O
2628,"8. Austria I ( Hubert Schoesser , Erwin Arnold ) 1:46.13",O B-ORG I-ORG O B-PER I-PER O B-PER I-PER O O
2629,( 52.92 / 53.21 ),O O O O O
2630,"9. Britain I ( Sean Olsson , Dean Ward ) 1:46.26 ( 52.97/",O B-ORG I-ORG O B-PER I-PER O B-PER I-PER O O O O
2631,53.29 ),O O
2632,10 equal .,O O O
2633,"United States I ( Jim Herberich , Garrett",B-ORG I-ORG I-ORG O B-PER I-PER O B-PER
2634,Hines ) 1:46.34 ( 53.14 / 53.20 ) and Austria III,B-PER O O O O O O O O B-ORG I-ORG
2635,"( Hannes Conti , Georg Kuttner ) 1:46.34 ( 53.30/",O B-PER I-PER O B-PER I-PER O O O O
2636,53.04).,O
2637,-DOCSTART- CRICKET - WOOLMER MAKES SENTIMENTAL RETURN TO KANPUR .,O O O B-PER O O O O B-LOC O
2638,"KANPUR , India 1996-12-07",B-LOC O B-LOC O
